BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
9,"","noauthororeditor","Brockhaus, Rudolf & Lange, Sebastian","Das Leitbild der Zentralbibliothek der Sportwissenschaften Köln - eine Evaluation","",70,,"","",2013,"","","http://nbn-resolving.de/urn/resolver.pl?urn:nbn:de:hbz:79pbc-2013061102","","","","Kölner Arbeitspapiere zur Bibliotheks- und Informationswissenschaft","","","","","","","","","Die vorliegende Arbeit untersucht das 2009 eingeführte Leitbild der Zentralbibliothek für Sportwissenschaften in Köln. Leitbilder gehören kontextuell zum strategischen Management und werden in deutschen Bibliotheken seit den 1990er Jahren eingesetzt. Sie sollen in einer knappen Darstellung folgende Fragen beantworten: Warum bietet die Bibliothek ihre Dienste an? Für wen und von wem werden diese Dienste angeboten? Wie sollen die Dienste idealerweise ausgeführt werden? Was sind die angebotenen Dienste? Leitbilder besitzen eine Innen- und Außenwirkung. Die Innenwirkung gibt den Mitarbeitern Orientierung, Identifikation und Motivation, die Außenwirkung informiert die Öffentlichkeit und unterstützt somit die Legitimität der Bibliothek. Leitbilder sollten regelmäßig evaluiert und gegebenenfalls an veränderte Rahmenbedingungen angepasst werden. Ziel des Projekts ist nicht notwendigerweise die komplette Neugestaltung des Leitbildes sondern die Evaluation und gegebenenfalls Modifikation des vorhandenen Leitbildes, und zwar so, dass das Evaluationsverfahren modellhaft von anderen Bibliotheken adaptiert werden kann.","http://publiscologne.fh-koeln.de/frontdoor/index/index/docId/122","bibliothekswissenschaft","",""
1,"","uwe_timm_am_2003","Timm, Uwe","Am Beispiel meines Bruders","",,,"","",2003,"Köln","erworben 08/08","","","","","","","Kiepenheuer \& Witsch","","","","","","","","","Hit_der_Geschichtswissenschaft, Literatur-Deutschland, {Literatur-Deutschland-20.\_Jhd.-1989-2000}","",""
1,"","gaston_bachelard_lair_1943","Bachelard, Gaston","L'Air et les Songes - Essai sur l'imagination du mouvement","",,,"","",1943,"o. O.","","","","","","","","Libraire José Corti","","","","","","","","","Wissenschaftsgeschichte, Wissenschaftsphilosophie","",""
7,"","geisselmann00001","Geißelmann, F.","Zur Strukturierung der Schlagwortnormdatei","Buch und Bibliothek",41,,"","428-429",1989,"","","","","","","","","","","","","","","","","","normdatei, Wissensrepräsentation, Schlagwort, SWD","",""
7,"","Gießelmann-1989-Strukturierung","Geißelmann, F.","Zur Strukturierung der Schlagwortnormdatei","Buch und Bibliothek",41,,"","428-429",1989,"","","","","","","","","","","","","","","","","","Schlagwort, SWD","",""
7,"","lepsky_automatische_1998","Lepsky, Klaus","Automatische Erschließung von Internet-Quellen : Möglichkeiten und Grenzen","Buch und Bibliothek",50,,"","336--340",1998,"","","","","","","","","","","","","","","","","","zz-svz, automatisches_indexieren","",""
1,"","Baron1978","Baron, Frank","Doctor Faustus","",,I/27,"","",1978,"München","","","","","","Humanistische Bibliothek","","","","","","","","","","","faustbuch","",""
1,"3706406063","GVK271218487","Porter, {Michael E.}","Nationale Wettbewerbsvorteile","",,,"","",1999,"Wien","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+271218487&sourceid=fbw_bibsonomy","","","Sonderausg","Management-Bibliothek","","Ueberreuter","","","","","","","","","Wettbewerbsvorteil, Internationale_Wettbewerbsfähigkeit, Industriestaaten, Unternehmensführung, Wettbewerb","",""
1,"3775809945","GVK02804374X","Ronneberger, {Franz}","Kommunikationspolitik als Gesellschaftspolitik","",,7,"","",1980,"Mainz","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+02804374X&sourceid=fbw_bibsonomy","","","","Kommunikationswissenschaftliche Bibliothek","","v. Hase & Koehler","","","","","","","","","imported","",""
1,"3760906516","GVK024746649","Baumann, {Walter}","Die im Schatten leben","",,231,"","",1982,"Köln","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+024746649&sourceid=fbw_bibsonomy","","","","Kleine Bibliothek","","Pahl-Rugenstein","","","","","","","","","imported","",""
1,"3760910262","GVK024790796","?","Für eine beschäftigungspolitische Offensive","",,386,"","",1986,"Köln","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+024790796&sourceid=fbw_bibsonomy","","","","Kleine Bibliothek","","Pahl-Rugenstein","","","","","","","","","Deutschland_<Bundesrepublik>, Alternative_Wirtschaftspolitik","",""
1,"3409965718","GVK024733393","Arrow, {Kenneth Joseph}","Wo Organisation endet","",,,"","",1980,"Wiesbaden","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+024733393&sourceid=fbw_bibsonomy","","","","Gabler-Bibliothek","","Gabler","","","","","","","","","imported","",""
1,"376090405X","GVK023193042","Niess, {Frank}","Geschichte der Arbeitslosigkeit","",,139,"","",1979,"Köln","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+023193042&sourceid=fbw_bibsonomy","","","","Kleine Bibliothek","","Pahl-Rugenstein","","","","","","","","","Beschäftigung, Arbeitslosigkeit, Einkommen, Arbeitsmarkt, Wirtschaftstheorie:_Sonstiges","",""
1,"3760903142","GVK011280190","Axt, {Heinz-Jürgen}","Staat, multinationale Konzerne und politische Union in Westeuropa","",,102,"","",1978,"Köln","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+011280190&sourceid=fbw_bibsonomy","","","","Kleine Bibliothek","","Pahl-Rugenstein","","","","","","","","","Multinationales_Unternehmen, Theorie_der_Wirtschaftspolitik, Souveränität, Politische_Systeme:_Allgemeines, Wohlfahrtstheorie, Europäische_Gemeinschaften","",""
1,"3760906494","GVK012793019","?","Demokratische Wirtschaftspolitik gegen Marktmacht und Sparmaßnahmen","",,245,"","",1981,"Köln","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+012793019&sourceid=fbw_bibsonomy","","","","Kleine Bibliothek","","Pahl-Rugenstein","","","","","","","","","imported","",""
1,"3760906354","GVK012783994","","Für den Frieden produzieren","",,230,"","",1981,"Köln","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+012783994&sourceid=fbw_bibsonomy","","","","Kleine Bibliothek","Huffschmid, {Jörg}","Pahl-Rugenstein","","","","","","","","","imported","",""
1,"3887457463","GVK017234662","Däumling, {Florian} & Sillescu, {Daniel}","QuickStart PostScript","",,3746,"","",1990,"Düsseldorf [u.a.]","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+017234662&sourceid=fbw_bibsonomy","","","1. Aufl","Sybex[-Bibliothek]","","SYBEX","","","","","","","","","imported","",""
1,"","FPK_Selbstmord","Knapp, {Fritz Peter}","Der Selbstmord in der abendländischen Epik des Hochmittelalters","",,Reihe 3, Bd. 24,"","",1979,"Heidelberg","","","","","","Germanische Bibliothek","","","","","","","","","","","imported","",""
1,"","GVK176858628","Henzel, {Friedrich}","Lagerwirtschaft","",,,"","",1950,"Essen","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+176858628&sourceid=fbw_bibsonomy","","","1. Aufl.","Betriebswirtschaftliche Bibliothek","","Girardet","","","","","","","","","Betriebliche_Information_und_Kommunikation, Lagerhaltung, Materialwirtschaft, Beschaffung","",""
1,"","GVK177400374","Kosiol, {Erich}","Kontenrahmen und Kontenpläne der Unternehmungen","",,,"","",1962,"Essen","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+177400374&sourceid=fbw_bibsonomy","","","","Betriebswirtschaftliche Bibliothek","","Girardet","","","","","","","","","imported","",""
1,"978-3-7639-3900-8","GVK571325963","","Mehr Vermittlungen durch mehr Vermittler?","",,312,"","",2008,"Nürnberg","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+571325963&sourceid=fbw_bibsonomy","","","","IAB-Bibliothek","Kruppe, {Thomas}","Inst. für Arbeitsmarkt- und Berufsforschung","","","","","","","","","Arbeitsförderung, Arbeitsvermittlung, Beschäftigung, Deutschland, Langzeitarbeitslosigkeit, Einkommen, Projekt, Arbeitsmarkt, Berufliche_Integration, Wirtschaftspolitische_Wirkungsanalyse, Langzeitarbeitsloser","",""
1,"978-3-7639-4003-5","GVK588919055","Lutz, {Roman}","Geht die Arbeitslosenversicherung in Rente?","",,316,"","",2009,"Bielefeld","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+588919055&sourceid=fbw_bibsonomy","","","","IAB-Bibliothek","","Bertelsmann","","","","","","","","","Private_Rentenversicherung, Beschäftigung, Deutschland, Rentenversicherung, Arbeitslosigkeit, Einkommen, Gesundheit, Arbeitsmarkt, Privatisierung, Arbeitslosenversicherung, Sterblichkeit, Privatversicherung","",""
1,"3407281552","GVK020123698","Mann, {Leon}","Sozialpsychologie","",,20,"","",1976,"Weinheim [u.a.]","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+020123698&sourceid=fbw_bibsonomy","","","4. Aufl., 31. - 40. Tsd","Beltz-Bibliothek","","Beltz","","","","","","","","","imported","",""
1,"","GVK021986037","Lehmann, {Max Rudolf}","Methoden und Technik der Betriebsstatistik","",,,"","",1960,"Essen","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+021986037&sourceid=fbw_bibsonomy","","","","Betriebswirtschaftliche Bibliothek","","Girardet","","","","","","","","","imported","",""
1,"3--15--008513--6","Rorty.1995","Rorty, Richard","Solidarit\"at oder Objektivit\"at?:  Drei philosophische Essays:  aus dem Engl. von Joachim Schulte","",Nr. 8513,,"","",1995,"Stuttgart","","","","","","Universal--Bibliothek","","Reclam","","","","","","","","import","Sprache, Philosophie, Pragmatismus, Rorty","",""
1,"315009318","Conrad.1994","Conrad, Christoph","Geschichte schreiben in der Postmoderne:  Beiträge zur aktuellen Diskussion","",9318,,"","",1994,"Stuttgart","","","","","","Universal-Bibliothek","","Reclam","","","","","","","Literaturverz. S. [367] - 368","","Geschichtswissenschaft, Geschichtstheorie, Metahistory, Postmoderne","",""
9,"","GVK555774813","Behle, {Heike}","Veränderung der seelischen Gesundheit durch arbeitsmarktpolitische Maßnahmen","",,308,"","",2007,"Nürnberg","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+555774813&sourceid=fbw_bibsonomy","","","","IAB-Bibliothek","","Inst. für Arbeitsmarkt- und Berufsforschung","","","","","","","","","Jugendliche_Arbeitskräfte, Jugendliche, Psychische_Störung, Jugendarbeitslosigkeit, Berufsausbildung, Erwerbsverlauf, Psychische_Gesundheit, Beschäftigung, Deutschland, Arbeitsmarktpolitik, Einkommen, Gesundheit, Arbeitsmarkt","",""
1,"","Hofmann26","Hofmann, J. B.","Lateinische Umgangssprache","",,,"","",1926,"Heidelberg","","","","","","Indogermanische Bibliothek","","Carl Winters Universit\"atsbuchhandlung","","","","","","","","","imported","",""
1,"3801210790","GVK355753731","","Kritischer Rationalismus und Sozialdemokratie","",,79,"","",1975,"Berlin [u.a.]","","http://gso.gbv.de/DB=2.1/CMD?ACT=SRCHA&SRT=YOP&IKT=1016&TRM=ppn+355753731&sourceid=fbw_bibsonomy","","","","Internationale Bibliothek","Lührs, {Georg}","Dietz","","","","","","","","","imported","",""
1,"3-15-009961-7","Clausewitz.1995","Clausewitz, Carl von","Vom Kriege: Auswahl","",9961,,"","",1995,"Stuttgart","","","","","","Universal-Bibliothek","","Reclam","","","","","","","","","Clausewitz, Krieg, Politik, Strategie, Frieden","",""
1,"3-15-008639-6","Schimmel.1997","Schimmel, Annemarie","Der Islam: Eine Einführung","",8639,,"","",1997,"Stuttgart","","","","","","Universal-Bibliothek","","Reclam","","","","","","","","","Islam","",""
1,"","Barner.2003","","Texte zur modernen Mythentheorie","",17642,,"","",2003,"Stuttgart","","","","","","Universal-Bibliothek","Barner, Wilfried Detken Anke Wesche J{\"o}rg","Philipp Reclam jun.","","","","","","","","","imported","",""
1,"3-593-37729-2","Anderson.2005","Anderson, Benedict R. O'G.","Die Erfindung der Nation: zur Karriere eines folgenreichen Konzepts","",,,"","",2005,"Frankfurt/Main u.a.","","","","","3. Aufl.","Campus Bibliothek","","Campus-Verl.","","","","","","","","","Nationalismus;Geschichte","",""
1,"","Maurer.2003c","","Aufri$\backslash$textbackslashss der Historischen Wissenschaften. Band 7: Neue Themen und Methoden der Geschichtswissenschaft","",17033,,"","",2003,"Stuttgart","","","","","","Universal-Bibliothek","Maurer, Michael","Philipp Reclam jun","","","","","","","","","imported","",""
1,"","albersmeier1998","","Texte zur Theorie des Films","",,9943,"","",1998,"Stuttgart","","","","","","Universal-Bibliothek","Albersmeier, F.J.","P. Reclam","","","","","","","","","filmtheorie, eisenstein, vertov, film, kino, tonfilm","",""
1,"","Adorno:1951","Adorno, Theodor W[iesengrund]","Minima Moralia. Reflexionen aus dem besch\"adigten Leben","",,236,"","",1951,"Frankfurt am Main","","","","","","Bibliothek Suhrkamp","","Suhrkamp","","","","","","","","","Philosophie,, Essay","",""
5,"","Kant:1992","Kant, Immanuel","Zum ewigen Frieden","",,443,"","",1992,"Hamburg","","","{\"U}ber den Gemeinspruch: Das mag in der Theorie richtig sein, taugt aber nicht f{\"u}r die Praxis / Zum ewigen Frieden","","","Philosophische Bibliothek","","Meiner","","","","","","","","","imported","",""
7,"","Dudek2005","Dudek, Jochen & Voﬂü, Jakob","Kooperation als wichtigster Bestandteil des Konzepts / Weblogs, Wikis\& Co.: Social Software in Bibliotheken (in German)","Buch und Bibliothek",3/2005,,"","221-225",2005,"","","","","","","","","","","","","","","","","","imported","",""
7,"","Regulski2007","Regulski, Katharina","Aufwand und Nutzen beim Einsatz von Social-Bookmarking-Services","Bibliothek: Forschung & Praxis",31,2,"","9 S.",2007,"","","","","","","","","","","","","","","","","BibSonomy::bibtex::Aufwand und Nutzen beim Einsatz von Social-Bookmarking-Services","costs, web2.0, social, socialbookmarking, advantages","",""
10,"","ArbeitsgemeinschaftInformationskompetenzNRW.24.04.2005","{Arbeitsgemeinschaft Informationskompetenz NRW}","ULB Bonn - AG Informationskompetenz - Schulungs- und Lernmaterialien","",,,"","",24.04.2005,"","","http://www.informationskompetenz.de","","","","","","","","","","","","","[Description-Tag:]Diese Seite bietet eine umfassende Sammlung an Schulungs- und Lernmaterialien nordrhein-westfälischer Bibliotheken, die sich an der Arbeitsgemeinschaft Informationskompetenz NRW beteiligen. Die einzelnen Scripte wurden von den jeweiligen Bibliotheken erstellt und befassen sich z.B. mit der Einführung in die Bibliothek, die Kataloge und weitere Dienstleistungen, sowie Suchstrategien, Literatur-, Datenbank- und Internetrecherchen.","","literacy, Schulungsmaterialien, Bibliotheken, Information","",""
1,"","willi_bredel_maschinenfabrik_1975","Bredel, Willi","Maschinenfabrik N.\&K. - Ein Roman aus dem proletarischen Alltag","",1,,"","",1975,"Berlin / Weimar","","","","","2","Gesammelte Werke in Einzelausgaben","","Aufbau Verlag","","","","","","","","","{Hitquelle\_für\_Geschichtsschreibung,}, Quelle","",""
1,"","lucien_febvre_martin_1996","Febvre, Lucien","Martin Luther","",,,"","",1996,"Frankfurt / New York","im frz. Org. u. d. T.: Un destin: Martin Luther, Paris: Ed. Rieder, 1928 (der dt. Ausgabe liegt die überarbeitete Ausgabe von 1945 zugrunde)","","","","2., durchgesehene","","","Campus","","","","","","","","","{Geschichtswissenschaft-Strömungen-Les\_Annales,}, {Martin\_Luther}","",""
1,"","erik_reger_union_1979","Reger, Erik","Union der festen Hand","",,,"","",1979,"Hamburg","","","","","","","","Rowohlt","","","","","","","","","Literatur-Deutschland-20._Jhd.-1918-1933(Weimarer_Republik), Industrieroman, Sozialistische_Literatur","",""
